litter,rx,time,status
1,1,101,0
1,0,49,1
1,0,104,0
3,1,104,0
3,0,102,0
3,0,104,0
5,1,104,0
5,0,104,0
5,0,104,0
7,1,77,0
7,0,97,0
7,0,79,0
9,1,89,0
9,0,104,0
9,0,104,0
11,1,88,1
11,0,96,1
11,0,104,0
13,1,104,1
13,0,94,0
13,0,77,1
15,1,96,1
15,0,104,0
15,0,104,0
17,1,82,0
17,0,77,0
17,0,104,0
19,1,70,1
19,0,104,0
19,0,77,0
21,1,89,1
21,0,91,0
21,0,90,0
23,1,91,0
23,0,70,0
23,0,92,0
25,1,39,1
25,0,45,0
25,0,50,1
27,1,103,1
27,0,69,0
27,0,91,0
29,1,93,0
29,0,104,0
29,0,103,0
31,1,85,0
31,0,72,0
31,0,104,0
33,1,104,0
33,0,63,0
33,0,104,0
35,1,104,0
35,0,104,0
35,0,74,0
37,1,81,0
37,0,104,0
37,0,69,0
39,1,67,1
39,0,104,0
39,0,68,1
41,1,104,0
41,0,104,0
41,0,104,0
43,1,104,0
43,0,104,0
43,0,104,0
45,1,104,0
45,0,83,0
45,0,40,1
47,1,87,0
47,0,104,0
47,0,104,0
49,1,104,0
49,0,104,0
49,0,104,0
51,1,89,0
51,0,104,0
51,0,104,0
53,1,78,0
53,0,104,0
53,0,104,0
55,1,104,0
55,0,81,1
55,0,64,1
57,1,86,1
57,0,55,1
57,0,94,0
59,1,34,1
59,0,104,0
59,0,54,1
61,1,76,0
61,0,87,0
61,0,74,0
63,1,103,1
63,0,73,1
63,0,84,1
65,1,102,1
65,0,104,0
65,0,80,0
67,1,80,1
67,0,104,0
67,0,73,0
69,1,45,1
69,0,79,0
69,0,104,0
71,1,94,1
71,0,104,0
71,0,104,0
73,1,104,0
73,0,104,0
73,0,104,0
75,1,104,0
75,0,101,1
75,0,94,0
77,1,76,0
77,0,84,1
77,0,78,1
79,1,80,1
79,0,81,1
79,0,76,0
81,1,72,1
81,0,95,0
81,0,104,0
83,1,73,1
83,0,104,0
83,0,66,1
85,1,92,1
85,0,104,0
85,0,102,1
87,1,104,0
87,0,98,0
87,0,73,0
89,1,55,0
89,0,104,0
89,0,104,0
91,1,49,0
91,0,83,0
91,0,77,0
93,1,89,1
93,0,104,0
93,0,104,0
95,1,88,0
95,0,79,0
95,0,99,0
97,1,103,1
97,0,91,0
97,0,104,0
99,1,104,0
99,0,104,0
99,0,79,1
